"subscribed","age","job","marital","education","default","balance","loan","contact","campaign"
FALSE,30,"unemployed","married","primary","no",1787,"no","cellular",1
FALSE,33,"services","married","secondary","no",4789,"yes","cellular",1
FALSE,35,"management","single","tertiary","no",1350,"no","cellular",1
FALSE,30,"management","married","tertiary","no",1476,"yes","unknown",4
FALSE,59,"blue-collar","married","secondary","no",0,"no","unknown",1
FALSE,35,"management","single","tertiary","no",747,"no","cellular",2
FALSE,36,"self-employed","married","tertiary","no",307,"no","cellular",1
FALSE,39,"technician","married","secondary","no",147,"no","cellular",2
FALSE,41,"entrepreneur","married","tertiary","no",221,"no","unknown",2
FALSE,43,"services","married","primary","no",-88,"yes","cellular",1
FALSE,39,"services","married","secondary","no",9374,"no","unknown",1
FALSE,43,"admin.","married","secondary","no",264,"no","cellular",2
FALSE,36,"technician","married","tertiary","no",1109,"no","cellular",2
TRUE,20,"student","single","secondary","no",502,"no","cellular",1
FALSE,31,"blue-collar","married","secondary","no",360,"yes","cellular",1
FALSE,40,"management","married","tertiary","no",194,"yes","cellular",2
FALSE,56,"technician","married","secondary","no",4073,"no","cellular",5
FALSE,37,"admin.","single","tertiary","no",2317,"no","cellular",1
FALSE,25,"blue-collar","single","primary","no",-221,"no","unknown",1
FALSE,31,"services","married","secondary","no",132,"no","cellular",1
FALSE,38,"management","divorced","unknown","no",0,"no","cellular",2
FALSE,42,"management","divorced","tertiary","no",16,"no","cellular",3
FALSE,44,"services","single","secondary","no",106,"no","unknown",2
FALSE,44,"entrepreneur","married","secondary","no",93,"no","cellular",2
FALSE,26,"housemaid","married","tertiary","no",543,"no","cellular",3
FALSE,41,"management","married","tertiary","no",5883,"no","cellular",2
FALSE,55,"blue-collar","married","primary","no",627,"no","unknown",1
FALSE,67,"retired","married","unknown","no",696,"no","telephone",1
FALSE,56,"self-employed","married","secondary","no",784,"yes","cellular",2
FALSE,53,"admin.","married","secondary","no",105,"yes","cellular",2
TRUE,68,"retired","divorced","secondary","no",4189,"no","telephone",2
FALSE,31,"technician","married","secondary","no",171,"no","cellular",3
FALSE,59,"management","married","secondary","no",42,"no","cellular",1
TRUE,32,"management","single","tertiary","no",2536,"no","cellular",6
TRUE,49,"technician","married","tertiary","no",1235,"no","cellular",3
FALSE,42,"admin.","divorced","secondary","no",1811,"no","unknown",1
TRUE,78,"retired","divorced","primary","no",229,"no","telephone",1
TRUE,32,"blue-collar","married","secondary","no",2089,"no","cellular",1
TRUE,33,"management","married","secondary","no",3935,"no","cellular",1
FALSE,23,"services","single","tertiary","no",363,"no","unknown",18
FALSE,38,"management","single","tertiary","no",11971,"no","unknown",2
FALSE,36,"management","single","tertiary","no",553,"no","cellular",2
FALSE,52,"blue-collar","married","secondary","no",1117,"no","cellular",1
FALSE,32,"technician","married","tertiary","no",396,"no","cellular",3
FALSE,32,"technician","single","tertiary","no",2204,"no","cellular",4
FALSE,34,"management","single","tertiary","no",872,"no","unknown",2
FALSE,55,"blue-collar","married","primary","no",145,"no","telephone",3
FALSE,26,"blue-collar","married","primary","no",0,"no","unknown",1
FALSE,32,"entrepreneur","single","primary","yes",-849,"yes","cellular",1
TRUE,61,"admin.","married","unknown","no",4629,"no","cellular",1
TRUE,45,"blue-collar","divorced","primary","no",844,"no","unknown",3
FALSE,37,"technician","single","secondary","no",228,"no","cellular",2
FALSE,38,"technician","single","secondary","no",50,"no","cellular",2
TRUE,34,"technician","married","tertiary","no",1539,"no","cellular",1
FALSE,53,"blue-collar","married","secondary","no",2231,"no","cellular",3
FALSE,48,"admin.","married","secondary","no",3064,"no","telephone",2
FALSE,57,"management","married","secondary","no",82,"yes","telephone",1
FALSE,33,"self-employed","single","tertiary","no",2155,"no","cellular",1
FALSE,36,"retired","single","secondary","no",101,"yes","unknown",1
FALSE,54,"technician","divorced","secondary","no",784,"yes","unknown",1
FALSE,41,"blue-collar","married","primary","no",-516,"yes","telephone",3
FALSE,63,"retired","married","secondary","no",415,"no","cellular",1
FALSE,48,"management","married","tertiary","no",5887,"no","cellular",2
FALSE,48,"services","married","secondary","no",1355,"no","cellular",2
FALSE,56,"admin.","married","secondary","no",16873,"no","cellular",1
FALSE,51,"blue-collar","divorced","secondary","no",203,"no","cellular",1
FALSE,31,"services","married","secondary","no",338,"no","cellular",1
FALSE,29,"technician","married","secondary","no",444,"no","cellular",4
FALSE,41,"management","married","secondary","no",0,"yes","cellular",3
FALSE,32,"technician","single","tertiary","no",360,"no","cellular",2
TRUE,37,"management","married","tertiary","no",0,"no","cellular",2
FALSE,42,"entrepreneur","divorced","tertiary","yes",2,"no","unknown",1
FALSE,31,"management","single","tertiary","no",6248,"no","unknown",2
FALSE,41,"services","married","tertiary","no",412,"no","unknown",5
FALSE,56,"retired","married","secondary","no",344,"no","unknown",1
FALSE,54,"management","divorced","tertiary","no",3222,"no","cellular",2
FALSE,41,"blue-collar","divorced","secondary","no",174,"no","cellular",2
FALSE,40,"technician","single","secondary","no",591,"yes","cellular",6
FALSE,50,"blue-collar","divorced","primary","no",388,"no","cellular",1
FALSE,40,"unemployed","married","secondary","no",219,"no","cellular",2
TRUE,27,"admin.","divorced","secondary","no",451,"no","cellular",1
FALSE,60,"retired","married","primary","no",5,"no","cellular",2
FALSE,28,"admin.","single","secondary","no",177,"yes","cellular",1
TRUE,52,"services","married","secondary","no",657,"no","telephone",2
TRUE,37,"management","married","tertiary","no",1315,"no","cellular",1
