"subscribed","age","education","balance","loan"
FALSE,30,"primary",1787,"no"
FALSE,33,"secondary",4789,"yes"
FALSE,35,"tertiary",1350,"no"
FALSE,30,"tertiary",1476,"yes"
FALSE,59,"secondary",0,"no"
FALSE,35,"tertiary",747,"no"
FALSE,36,"tertiary",307,"no"
FALSE,39,"secondary",147,"no"
FALSE,41,"tertiary",221,"no"
FALSE,43,"primary",-88,"yes"
FALSE,39,"secondary",9374,"no"
FALSE,43,"secondary",264,"no"
FALSE,36,"tertiary",1109,"no"
TRUE,20,"secondary",502,"no"
FALSE,31,"secondary",360,"yes"
FALSE,40,"tertiary",194,"yes"
FALSE,56,"secondary",4073,"no"
FALSE,37,"tertiary",2317,"no"
FALSE,25,"primary",-221,"no"
FALSE,31,"secondary",132,"no"
FALSE,38,"unknown",0,"no"
FALSE,42,"tertiary",16,"no"
FALSE,44,"secondary",106,"no"
FALSE,44,"secondary",93,"no"
FALSE,26,"tertiary",543,"no"
FALSE,41,"tertiary",5883,"no"
FALSE,55,"primary",627,"no"
FALSE,67,"unknown",696,"no"
FALSE,56,"secondary",784,"yes"
FALSE,53,"secondary",105,"yes"
TRUE,68,"secondary",4189,"no"
FALSE,31,"secondary",171,"no"
FALSE,59,"secondary",42,"no"
TRUE,32,"tertiary",2536,"no"
TRUE,49,"tertiary",1235,"no"
FALSE,42,"secondary",1811,"no"
TRUE,78,"primary",229,"no"
TRUE,32,"secondary",2089,"no"
TRUE,33,"secondary",3935,"no"
FALSE,23,"tertiary",363,"no"
FALSE,38,"tertiary",11971,"no"
FALSE,36,"tertiary",553,"no"
FALSE,52,"secondary",1117,"no"
FALSE,32,"tertiary",396,"no"
FALSE,32,"tertiary",2204,"no"
FALSE,34,"tertiary",872,"no"
FALSE,55,"primary",145,"no"
FALSE,26,"primary",0,"no"
FALSE,32,"primary",-849,"yes"
TRUE,61,"unknown",4629,"no"
TRUE,45,"primary",844,"no"
FALSE,37,"secondary",228,"no"
FALSE,38,"secondary",50,"no"
TRUE,34,"tertiary",1539,"no"
FALSE,53,"secondary",2231,"no"
FALSE,48,"secondary",3064,"no"
FALSE,57,"secondary",82,"yes"
FALSE,33,"tertiary",2155,"no"
FALSE,36,"secondary",101,"yes"
FALSE,54,"secondary",784,"yes"
FALSE,41,"primary",-516,"yes"
FALSE,63,"secondary",415,"no"
FALSE,48,"tertiary",5887,"no"
FALSE,48,"secondary",1355,"no"
FALSE,56,"secondary",16873,"no"
FALSE,51,"secondary",203,"no"
FALSE,31,"secondary",338,"no"
FALSE,29,"secondary",444,"no"
FALSE,41,"secondary",0,"yes"
FALSE,32,"tertiary",360,"no"
TRUE,37,"tertiary",0,"no"
FALSE,42,"tertiary",2,"no"
FALSE,31,"tertiary",6248,"no"
FALSE,41,"tertiary",412,"no"
FALSE,56,"secondary",344,"no"
FALSE,54,"tertiary",3222,"no"
FALSE,41,"secondary",174,"no"
FALSE,40,"secondary",591,"yes"
FALSE,50,"primary",388,"no"
FALSE,40,"secondary",219,"no"
TRUE,27,"secondary",451,"no"
FALSE,60,"primary",5,"no"
FALSE,28,"secondary",177,"yes"
TRUE,52,"secondary",657,"no"
TRUE,37,"tertiary",1315,"no"
FALSE,51,"primary",1466,"no"
FALSE,41,"secondary",879,"yes"
FALSE,35,"primary",293,"no"
FALSE,38,"secondary",424,"no"
FALSE,34,"secondary",1831,"no"
FALSE,39,"primary",111,"no"
FALSE,34,"primary",455,"no"
TRUE,27,"secondary",-195,"no"
FALSE,32,"tertiary",3616,"no"
FALSE,57,"secondary",14093,"no"
FALSE,41,"tertiary",1567,"no"
FALSE,41,"tertiary",5426,"no"
FALSE,30,"tertiary",261,"no"
FALSE,36,"secondary",2843,"no"
TRUE,31,"primary",406,"no"
FALSE,36,"secondary",0,"no"
FALSE,38,"tertiary",493,"no"
FALSE,49,"secondary",5996,"no"
FALSE,57,"primary",3777,"no"
FALSE,34,"secondary",524,"no"
FALSE,32,"tertiary",574,"no"
FALSE,37,"secondary",427,"yes"
FALSE,33,"tertiary",483,"no"
