"price","lotsize","stories","gasheat"
42000,5850,2,"no"
38500,4000,1,"no"
49500,3060,1,"no"
60500,6650,2,"no"
61000,6360,1,"no"
66000,4160,1,"no"
66000,3880,2,"no"
69000,4160,3,"no"
83800,4800,1,"no"
88500,5500,4,"no"
90000,7200,1,"no"
30500,3000,1,"no"
27000,1700,2,"no"
36000,2880,1,"no"
37000,3600,1,"no"
37900,3185,1,"no"
40500,3300,2,"no"
40750,5200,3,"no"
45000,3450,1,"no"
45000,3986,1,"no"
48500,4785,2,"no"
65900,4510,2,"no"
37900,4000,2,"no"
38000,3934,1,"no"
42000,4960,1,"no"
42300,3000,2,"no"
43500,3800,1,"no"
44000,4960,1,"no"
44500,3000,1,"no"
44900,4500,2,"no"
45000,3500,1,"no"
48000,3500,2,"no"
49000,4000,1,"no"
51500,4500,1,"no"
61000,6360,2,"no"
61000,4500,1,"no"
61700,4032,1,"no"
67000,5170,4,"no"
82000,5400,2,"no"
54500,3150,1,"no"
66500,3745,2,"no"
70000,4520,2,"no"
82000,4640,2,"no"
92000,8580,2,"no"
38000,2000,2,"no"
44000,2160,2,"no"
41000,3040,1,"no"
43000,3090,2,"no"
48000,4960,3,"no"
54800,3350,2,"no"
55000,5300,2,"no"
57000,4100,1,"no"
68000,9166,1,"no"
95000,4040,2,"yes"
38000,3630,2,"no"
25000,3620,1,"no"
25245,2400,1,"no"
56000,7260,1,"no"
35500,4400,2,"no"
30000,2400,2,"no"
48000,4120,2,"no"
48000,4750,1,"no"
52000,4280,1,"no"
54000,4820,2,"no"
56000,5500,2,"no"
60000,5500,2,"no"
60000,5040,2,"no"
67000,6000,1,"no"
47000,2500,1,"no"
70000,4095,2,"no"
45000,4095,1,"no"
51000,3150,2,"no"
32500,1836,1,"no"
34000,2475,2,"no"
35000,3210,2,"no"
36000,3180,1,"no"
45000,1650,2,"no"
47000,3180,2,"no"
55000,3180,1,"no"
63900,6360,1,"no"
50000,4240,2,"no"
35000,3240,1,"no"
50000,3650,2,"no"
43000,3240,2,"no"
55500,3780,2,"no"
57000,6480,2,"no"
60000,5850,1,"no"
78000,3150,1,"no"
35000,3000,1,"no"
44000,3090,1,"no"
47000,6060,1,"no"
58000,5900,2,"no"
163000,7420,2,"no"
128000,8500,4,"no"
123500,8050,1,"no"
39000,6800,1,"no"
53900,8250,1,"no"
59900,8250,1,"no"
35000,3500,1,"no"
43000,2835,1,"no"
57000,4500,2,"no"
79000,3300,2,"no"
125000,4320,2,"yes"
132000,3500,2,"yes"
58000,4992,2,"no"
43000,4600,1,"no"
48000,3720,1,"no"
58500,3680,2,"no"
73000,3000,2,"no"
63500,3750,1,"no"
43000,5076,1,"no"
46500,4500,1,"no"
92000,5000,2,"no"
75000,4260,2,"no"
75000,6540,2,"no"
85000,3700,2,"no"
93000,3760,2,"yes"
94500,4000,2,"no"
106500,4300,2,"no"
116000,6840,2,"no"
61500,4400,1,"no"
80000,10500,2,"no"
37000,4400,1,"no"
59500,4840,2,"no"
70000,4120,1,"no"
95000,4260,2,"yes"
117000,5960,2,"no"
122500,8800,2,"no"
123500,4560,2,"no"
127000,4600,2,"no"
35000,4840,2,"no"
44500,3850,2,"no"
49900,4900,2,"no"
50500,3850,1,"no"
65000,3760,1,"no"
90000,6000,4,"no"
46000,4370,2,"no"
35000,7700,1,"no"
26500,2990,1,"no"
43000,3750,2,"no"
56000,3000,2,"no"
40000,2650,2,"no"
51000,4500,2,"no"
51000,4500,1,"no"
57250,4500,2,"no"
44000,4500,2,"yes"
61000,2175,2,"no"
62000,4500,3,"yes"
80000,4800,3,"yes"
50000,4600,2,"no"
59900,3450,2,"no"
35500,3000,2,"no"
37000,3600,2,"no"
42000,3600,2,"no"
48000,3750,1,"no"
60000,2610,2,"no"
60000,2953,2,"no"
60000,2747,2,"no"
62000,1905,2,"no"
63000,3968,2,"no"
63900,3162,2,"no"
130000,6000,2,"no"
25000,2910,1,"no"
50000,2135,2,"no"
52900,3120,2,"yes"
62000,4075,1,"no"
73500,3410,2,"no"
38000,2800,1,"no"
46000,2684,1,"no"
48000,3100,2,"no"
52500,3630,1,"no"
32000,1950,1,"yes"
38000,2430,1,"no"
46000,4320,1,"no"
50000,3036,2,"no"
57500,3630,2,"yes"
70000,5400,2,"no"
69900,3420,2,"no"
74500,3180,2,"no"
42000,3660,2,"no"
60000,4410,1,"no"
50000,3990,2,"no"
58000,4340,1,"no"
63900,3510,2,"no"
28000,3420,2,"no"
54000,3420,2,"yes"
44700,5495,1,"no"
47000,3480,2,"no"
50000,7424,1,"no"
57250,3460,2,"no"
67000,3630,2,"no"
52500,3630,1,"no"
42000,3480,2,"no"
57500,3460,1,"no"
33000,3180,1,"no"
34400,3635,1,"no"
40000,3960,1,"no"
40500,4350,2,"yes"
46500,3930,1,"no"
52000,3570,2,"no"
53000,3600,1,"no"
53900,2520,1,"no"
50000,3480,1,"no"
55500,3180,2,"no"
56000,3290,1,"yes"
60000,4000,2,"no"
